"Features","Overall"
"Oct_Tmax",19.1627844650856
"May_Tmin",16.9965387745214
"Jun_Tmax",10.8880902363957
"May_Tmax",10.4631703828971
"Sep_Tmax",9.79863383074934
"Oct_Spei_gamma",9.72786349125073
"Oct_Spei_pearson",9.72062202912058
"Nov_Tmin",9.47708826582246
"Apr_Spi_gamma",8.27809887024667
"Jun_Tmin",8.23292862260683
"Oct_Tmin",8.17575938627336
"Nov_Tmax",8.07349994319365
"Apr_Spi_pearson",8.04986906509415
"Sep_Tmin",7.51796016269957
"Oct_Precip",7.48384462089824
"Jul_Precip",7.40207592039279
"Mar_Tmax",7.05450894241393
"Aug_Tmax",7.02672091335264
"Dec_Tmin",6.96794837190866
"Dec_Tmax",6.87442338556208
"Oct_Spi_gamma",6.80466262174054
"Jan_Tmin",6.44750444939426
"Oct_Spi_pearson",6.38928033915871
"Feb_Tmax",6.24273638537727
"Feb_Tmin",6.20932345916963
"May_Spei_pearson",6.11885945979935
"Jul_Spei_pearson",6.10745948574219
"Jul_Spei_gamma",6.0740527472999
"Jul_Spi_pearson",5.95766163337865
"Feb_Precip",5.93670479315024
"Sep_Spei_pearson",5.9156233855898
"Sep_Spei_gamma",5.89607246806791
"Apr_Tmin",5.85618327751048
"Jan_Tmax",5.84059111712252
"Apr_Tmax",5.76802734587042
"Apr_Spei_gamma",5.7555798931698
"Acres_Planted",5.66358610988214
"May_Spei_gamma",5.66198411914348
"Jul_Spi_gamma",5.62496720312531
"Apr_Precip",5.5722900276852
"Apr_Spei_pearson",5.4982288981959
"May_Spi_pearson",5.48998550976428
"Aug_Spei_pearson",5.48718855566656
"Aug_Spei_gamma",5.44568909305794
"Aug_Spi_pearson",5.35800331926016
"Aug_Spi_gamma",5.30071739791924
"Jul_Tmin",5.28637087268645
"May_Spi_gamma",5.27077152213996
"Acres_Harvested",5.24561920839047
"May_Precip",5.20773189079352
"Nov_Spi_pearson",5.16244938302765
"Mar_Tmin",5.13361672256059
"Nov_Spei_pearson",5.07736411746338
"Nov_Precip",5.07448856030872
"Nov_Spei_gamma",5.07446082837415
"Jul_Tmax",5.05755493151412
"Nov_Spi_gamma",5.02784768738602
"Aug_Precip",5.0132405079128
"Sep_Spi_gamma",5.00600020527463
"Dec_Spei_gamma",5.00061859071702
"Aug_Tmin",4.98297180580863
"Feb_Spei_gamma",4.96100710640315
"Sep_Spi_pearson",4.88417698501238
"Feb_Spi_pearson",4.86989426087299
"Jan_Spi_gamma",4.84910689678208
"Sep_Precip",4.83457069930753
"Feb_Spi_gamma",4.8243752929918
"Jan_Spi_pearson",4.81974426370592
"Jan_Spei_pearson",4.79343582345561
"Jan_Precip",4.66201578511518
